City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Iqaluit,75,CA,1605023904,78,63.75,-68.51,12.2,19.46
1,Ostrovnoy,97,RU,1605024404,83,68.05,39.51,34.83,20.02
2,Kununurra,1,AU,1605024122,78,-15.77,128.73,82.4,4.7
3,Laguna,1,US,1605024406,59,38.42,-121.42,37.99,0.76
4,Busselton,67,AU,1605024408,95,-33.65,115.33,50.0,6.06
5,Saint-Philippe,20,RE,1605023846,73,-21.36,55.77,75.2,13.87
6,Dalvik,0,IS,1605024410,64,65.97,-18.53,39.2,2.24
7,Brandon,75,US,1605024140,70,27.94,-82.29,84.2,11.41
8,Butaritari,2,KI,1605024413,77,3.07,172.79,81.73,8.41
9,Jamestown,40,US,1605024395,63,42.1,-79.24,70.0,9.17
10,Rikitea,1,PF,1605024415,80,-23.12,-134.97,73.74,17.4
11,Port Alfred,100,ZA,1605024416,71,-33.59,26.89,62.98,9.86
12,Arraial do Cabo,90,BR,1605024417,83,-22.97,-42.03,78.8,11.41
13,General Pico,78,AR,1605024419,29,-35.66,-63.76,82.81,10.63
14,Nome,75,US,1605024420,86,64.5,-165.41,37.4,16.11
15,Bethel,1,US,1605024421,82,41.37,-73.41,69.01,6.93
16,Lebu,13,CL,1605024422,69,-37.62,-73.65,58.82,17.13
17,Maţāy,0,EG,1605024423,31,28.42,30.78,68.68,8.63
18,Redcar,40,GB,1605024425,87,54.62,-1.06,55.0,10.29
19,Mataura,5,NZ,1605024426,94,-46.19,168.86,44.01,1.16
20,Camaná,26,PE,1605024427,64,-16.62,-72.71,68.56,8.48
21,Punta Arenas,40,CL,1605024428,62,-53.15,-70.92,57.2,11.41
22,Port Elizabeth,90,ZA,1605024189,87,-33.92,25.57,60.8,6.93
23,Savannah Bight,75,HN,1605024431,69,16.45,-85.85,82.4,11.68
24,Barrow,1,US,1605024432,78,71.29,-156.79,12.2,25.28
25,Mareeba,75,AU,1605024338,78,-17.0,145.43,75.2,9.17
26,Jalu,53,LY,1605024434,48,29.03,21.55,69.87,7.81
27,Ushuaia,40,AR,1605024435,57,-54.8,-68.3,50.0,14.99
28,Alice Springs,40,AU,1605023633,13,-23.7,133.88,93.2,12.75
29,Yellowknife,20,CA,1605024438,70,62.46,-114.35,-5.8,11.41
30,Darnah,74,LY,1605024439,79,32.77,22.64,67.08,5.23
31,Ulaangom,51,MN,1605024440,95,49.98,92.07,25.52,3.69
32,Talnakh,40,RU,1605024217,91,69.49,88.4,-0.4,6.71
33,Bambanglipuro,79,ID,1605024443,82,-7.95,110.28,78.91,7.45
